Name;low;upper;expected
Afghanistan;21.57;43.6;32.81833333
Albania;47.1;74.38;57.145
Algeria;29.6;70.28;48.94
Angola;28.69;51.32;36.29166667
Antigua and Barbuda;48.5;62.55;54.52
Argentina;41.1;79.84;54.83166667
Armenia;44.9;81.6;58.47333333
Australia;60.1;87.22;73.64
Austria;66.5;86.64;76.48833333
Azerbaijan;38.6;83.78;54.53
Bahamas;43.5;69.34;54.41833333
Bahrain;35.3;70.07;50.89166667
Bangladesh;23.1;41.77;29.52333333
Barbados;45.5;55.76;51.35333333
Belarus;48.5;82.3;62.445
Belgium;58.2;80.15;70.40666667
Belize;41.9;73.55;53.51666667
Benin;29.6;43.66;35.275
Bhutan;39.3;64.99;47.36166667
Bolivia;40.1;71.09;51.20833333
Bosnia and Herzegovina;39.4;63.28;46.95166667
Botswana;40.4;70.72;52.27
Brazil;43.6;78.9;56.72833333
Brunei Darussalam;45.7;67.86;57.78666667
Bulgaria;51.9;83.4;63.39333333
Burkina Faso;35.5;43.71;40.51
Burundi;25.78;43.37;31.26333333
Cabo Verde;32.8;56.94;44.28166667
Cambodia;30.1;51.24;37.46833333
Cameroon;30.2;57.13;39.50333333
Canada;50;85.06;68.74666667
Central African Republic;36.42;46.46;41.10333333
Chad;26.7;45.34;34.14833333
Chile;46.7;77.67;59.44833333
China;28.4;65.1;43.32333333
Colombia;42.4;75.93;56.15333333
Comoros;31.39;49.2;39.605
Costa Rica;46.3;80.03;60.11833333
Cote d'Ivoire;25.8;59.89;41.06
Croatia;60.2;86.98;66.71
Cuba;47.5;79.04;57.655
Cyprus;53.9;80.24;65.96166667
Czech Republic;59.9;84.67;71.70333333
Dem. Rep. Congo;25.01;42.05;35.045
Denmark;67.7;89.21;79.305
Djibouti;28.1;47.5;36.95833333
Dominica;44.6;73.25;54.135
Dominican Republic;42.2;75.32;54.91166667
Ecuador;46.5;66.58;55.22333333
Egypt;35.5;66.45;51.87833333
El Salvador;40.8;68.07;48.545
Equatorial Guinea;38.1;69.59;49.275
Eritrea;25.76;39.34;32.155
Estonia;61.4;88.59;71.66
Eswatini;33.8;60.63;42.61666667
Ethiopia;31.8;45.83;38.75666667
Fiji;31.3;75.29;48.86
Finland;73.8;90.68;79.04
France;62.5;88.2;75.45
Gabon;45.05;67.37;51.30333333
Gambia;27.9;52.09;37.61833333
Georgia;39.1;64.96;49.26333333
Germany;62.4;84.26;76.2
Ghana;27.6;58.89;38.80333333
Greece;56.2;85.81;70.88166667
Grenada;35.24;63.28;47.70833333
Guatemala;28;69.64;43.72166667
Guinea;26.4;55.4;37.425
Guinea-Bissau;29.1;48.2;40.025
Guyana;35.9;71.14;46.75666667
Haiti;19.01;43.28;30.92166667
Honduras;36.5;69.64;47.42
Hungary;55.1;84.6;66.415
Iceland;62.8;90.51;74.16333333
India;18.9;53.58;31.58
Indonesia;28.2;65.85;42.78833333
Iran;34.5;66.32;49.97666667
Iraq;27.8;63.97;39.69333333
Ireland;57.4;86.6;72.67333333
Israel;48;78.14;63.48833333
Italy;57.7;84.48;70.8
Jamaica;45.6;77.02;56.02666667
Japan;57.2;80.59;70.22166667
Jordan;43.6;72.24;55.75333333
Kazakhstan;40.9;73.29;52.05333333
Kenya;30.8;62.49;41.52166667
Kiribati;37.7;60.48;50.42666667
Kuwait;42.4;64.41;55.17166667
Kyrgyzstan;35.7;73.13;47.82
Laos;26.3;50.29;37.56666667
Latvia;60.2;85.71;66.46333333
Lebanon;32.2;69.14;49.645
Lesotho;20.81;47.17;33.16
Liberia;22.6;43.42;31.79833333
Lithuania;55.9;85.49;66.49666667
Luxembourg;72.3;86.58;79.78166667
Madagascar;26.5;37.1;30.355
Malawi;35.1;49.69;42.16
Malaysia;35;74.23;52.77666667
Mali;18.43;43.71;32.67
Malta;66.9;88.48;74.93333333
Mauritania;27.19;46.31;33.85666667
Mauritius;44.8;70.85;53.795
Mexico;44.2;73.59;55.10166667
Moldova;42.7;76.69;52.53666667
Mongolia;29.6;64.39;44.26166667
Montenegro;46.3;78.89;56.10666667
Morocco;28.4;74.18;49.95666667
Mozambique;29.97;46.37;37.12666667
Myanmar;19.4;48.98;32.22333333
Namibia;40.2;70.84;51.35166667
Nepal;28.3;50.21;35.45833333
Netherlands;62.6;82.03;73.34
New Zealand;56.7;88;70.945
Nicaragua;37.7;64.19;48.975
Niger;30.8;40;36.33333333
Nigeria;28.3;58.27;41.57166667
North Macedonia;50.3;78.02;58.24833333
Norway;59.3;86.9;74.88833333
Oman;30.7;60.13;46.61666667
Pakistan;24.6;51.42;34.45
Panama;47.3;78;58.04166667
Papua New Guinea;24.8;48.02;37.09333333
Paraguay;39.25;70.36;48.39
Peru;39.8;72.95;51.70333333
Philippines;28.9;73.7;45.795
Poland;50.6;81.26;65.1
Portugal;50.4;88.63;69.27333333
Qatar;33;69.94;52.945
Republic of Congo;30.8;59.56;42.315
Romania;50.52;83.24;62.75666667
Russia;37.5;83.52;55.91
Rwanda;32.8;50.34;38.32166667
Saudi Arabia;37.9;68.63;52.86
Senegal;30.7;63.73;43.74666667
Serbia;43.9;78.67;59.03166667
Seychelles;47.9;66.02;58.03333333
Sierra Leone;21.74;45.98;34.76
Singapore;50.9;87.04;65.84166667
Slovakia;60;85.42;70.645
Slovenia;62.4;88.98;72.44666667
Solomon Islands;26.7;46.92;37.61166667
South Africa;37.2;70.52;48.62666667
South Korea;46.9;70.61;60.11666667
Spain;56.6;88.91;73.665
Sri Lanka;34.7;65.55;48.75666667
Sudan;24.64;51.49;36.64666667
Suriname;45.2;68.58;54.05833333
Sweden;70.3;90.43;78.455
Switzerland;65.9;87.67;79.53666667
Taiwan;45.3;74.88;60.41666667
Tajikistan;31.34;73.05;43.30666667
Tanzania;31.1;58.34;42.37666667
Thailand;38.1;69.54;50.24166667
Timor-Leste;35.1;55.79;44.17333333
Togo;27.91;46.1;35.83166667
Tonga;40.4;66.86;53.38833333
Trinidad and Tobago;47.5;74.34;56.96333333
Tunisia;40.7;77.28;55.22
Turkiye;26.3;67.68;46.94166667
Turkmenistan;37;70.24;50.485
Uganda;35.6;57.56;41.37
Ukraine;49.01;79.69;55.87833333
United Arab Emirates;51.6;72.91;60.12666667
United Kingdom;72.6;87.38;79.37
United States of America;51.1;84.72;66.83833333
Uruguay;37.4;73.98;53.80666667
Uzbekistan;38.2;63.67;46.31333333
Vanuatu;28.9;57.74;43.16166667
Venezuela;46.4;76.23;57.98666667
Viet Nam;20.1;58.5;36.955
Zambia;34.7;66.06;46.425
Zimbabwe;37;59.25;47.83333333
